section,rank,bigram,frequency
defensa,1,guardia civil,331
defensa,2,general armada,292
defensa,3,tcol tejero,197
defensa,4,teniente general,195
defensa,5,teniente coronel,193
defensa,6,general milans,127
defensa,7,coronel tejero,120
defensa,8,justicia militar,111
defensa,9,comandante pardo,109
defensa,10,consejo supremo,98
defensa,11,gral armada,90
defensa,12,supremo justicia,89
defensa,13,milans bosch,80
defensa,14,desarrollo sesion,78
defensa,15,general juste,76
exteriores,1,asuntos exteriores,33
exteriores,2,juan carlos,22
exteriores,3,ministro asuntos,19
exteriores,4,estados unidos,16
exteriores,5,spanish democracy,13
exteriores,6,embajador españa,12
exteriores,7,ministerio asuntos,12
exteriores,8,excmo señor,11
exteriores,9,united states,11
exteriores,10,embajada españa,9
exteriores,11,direccion general,9
exteriores,12,democracia española,9
exteriores,13,king juan,9
exteriores,14,exteriores madrid,9
exteriores,15,josé pedro,8
interior,1,guardia civil,323
interior,2,teniente coronel,187
interior,3,coronel tejero,132
interior,4,congreso diputados,71
interior,5,general jefe,71
interior,6,estado mayor,68
interior,7,milans bosch,65
interior,8,guardias civiles,60
interior,9,incidente congreso,55
interior,10,efe nat,55
interior,11,madrid efe,54
interior,12,tte coronel,53
interior,13,muchas gracias,49
interior,14,dir gral,48
interior,15,garcía carrés,45
