bigram,frequency
guardia civil,655
teniente coronel,381
general armada,316
coronel tejero,252
teniente general,228
tcol tejero,202
pasó xerocopia,186
img jpeg,168
general milans,156
milans bosch,147
justicia militar,139
comandante pardo,111
estado mayor,106
consejo supremo,102
jpeg img,93
supremo justicia,92
general jefe,92
gral armada,90
congreso diputados,81
desarrollo sesion,78
director general,78
general juste,76
xerocopia sección,76
xerocopia general,76
torres rojas,73
capitán general,72
guardias civiles,72
coronel san,71
garcia almenta,71
garcía carrés,68
